seq_no,Line_Description,contract_number
59723,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
59724,"LEAD, QUARTET QUADRIPOLAR 1458Q/92",PP-CA-449
59725,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
59726,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
59727,"LEAD, TENDRIL MRI 46CM",PP-CA-449
59728,"LEAD, TENDRILL STS 52",PP-CA-449
68920,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
68921,"LEAD, TENDRIL MRI 46CM",PP-CA-449
68922,"LEAD, TENDRILL STS 52",PP-CA-449
68923,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
68924,"LEAD, TENDRIL MRI 52CM",PP-CA-449
68925,"LEAD, TENDRILL STS 58",PP-CA-449
68926,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
68927,"LEAD, TENDRIL MRI 52CM",PP-CA-449
68928,"LEAD, TENDRILL STS 58",PP-CA-449
68929,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
68930,"LEAD, TENDRIL MRI 52CM",PP-CA-449
68931,"LEAD, TENDRILL STS 58",PP-CA-449
68932,"GENERATOR, ASSURITY MRI PACER SR RF",PP-CA-449
70362,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
70364,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7120Q/65",PP-CA-449
70365,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
70366,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
74219,"CATH, AVEIR DELIVERY LEADLESS VR",PP-CA-449
74220,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 50CM",PP-CA-449
74221,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
76259,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
77639,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 50CM",PP-CA-449
77640,"CATH, AVEIR DELIVERY LEADLESS VR",PP-CA-449
77641,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
81335,"STYLET, MOND RVOT 58",PP-CA-449
81336,"RECORDER, LOOP CONFIRM RX IMPLANTABLE",PP-CA-449
81337,"RECORDER, LOOP CONFIRM RX IMPLANTABLE",PP-CA-449
86525,"STYLET, MOND RVOT 65",PP-CA-449
86546,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 50CM",PP-CA-449
86547,"CATH, AVEIR DELIVERY LEADLESS VR",PP-CA-449
86552,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
90701,"LEAD, TENDRILL STS 52",PP-CA-449
90702,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
90703,"GENERATOR, GALLANT DR ICD",PP-CA-449
90704,"RECORDER, LOOP CONFIRM RX IMPLANTABLE",PP-CA-449
90714,"STYLET, MOND RVOT 58",PP-CA-449
92663,"SHEATH, CPS DIRECT UPSIZED 115DEG 54CM",PP-CA-449
92664,"GENERATOR, ALLURE CRT-P RF",PP-CA-449
92665,"LEAD, TENDRILL STS 52",PP-CA-449
92666,"LEAD, QUICKFLEX MICRO 86",PP-CA-449
92667,"LEAD, TENDRILL STS 58",PP-CA-449
97206,"STYLET, MOND RVOT 65",PP-CA-449
98519,"STYLET, MOND RVOT 65",PP-CA-449
98520,"STYLET, MOND RVOT 58",PP-CA-449
99662,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
99663,"LEAD, TENDRILL STS 58",PP-CA-449
99664,"LEAD, TENDRIL MRI 52CM",PP-CA-449
99665,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
99666,"LEAD, TENDRIL MRI 52CM",PP-CA-449
99667,"LEAD, TENDRILL STS 58",PP-CA-449
99668,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
99671,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
99672,"LEAD, TENDRILL STS 58",PP-CA-449
99673,"GENERATOR, UNIFY ASSURA NEXT GEN CRT-D 40 DF4 CONN",PP-CA-449
99675,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
99677,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
99678,"GENERATOR, ASSURITY MRI PACER SR RF",PP-CA-449
99679,"LEAD, TENDRILL STS 58",PP-CA-449
99680,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
99681,"GENERATOR, GALLANT VR ICD",PP-CA-449
99682,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
99683,"LEAD, TENDRIL MRI 52CM",PP-CA-449
99684,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
99685,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
99686,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
99687,"LEAD, TENDRIL MRI 52CM",PP-CA-449
99688,"LEAD, TENDRILL STS 58",PP-CA-449
101173,"STYLET, MOND RVOT 65",PP-CA-449
104715,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
104716,"LEAD, TENDRIL MRI 52CM",PP-CA-449
104717,"LEAD, TENDRILL STS 58",PP-CA-449
104718,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
104719,"LEAD, TENDRILL STS 46",PP-CA-449
104720,"LEAD, TENDRIL MRI 52CM",PP-CA-449
104721,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
104722,"LEAD, TENDRIL MRI 46CM",PP-CA-449
104723,"LEAD, TENDRILL STS 52",PP-CA-449
105922,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
105923,"LEAD, TENDRILL STS 52",PP-CA-449
105924,"LEAD, TENDRIL MRI 46CM",PP-CA-449
105925,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
105926,"GENERATOR, GALLANT VR ICD",PP-CA-449
105927,"GENERATOR, QUADRA ALLURE MP CRT-P MRI",PP-CA-449
105928,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
110986,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
110987,"LEAD, TENDRIL MRI 52CM",PP-CA-449
110988,"LEAD, TENDRILL STS 58",PP-CA-449
114363,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
114370,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
114371,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
114372,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
116444,"GENERATOR, UNIFY ASSURA NEXT GEN CRT-D 40 DF4 CONN",PP-CA-449
116446,"SHEATH, CPS DIRECT UPSIZED R SIDE 47CM",PP-CA-449
116448,"LEAD, TENDRIL MRI 46CM",PP-CA-449
116449,"LEAD, TENDRILL STS 58",PP-CA-449
116450,"GENERATOR, UNIFY ASSURA NEXT GEN CRT-D 40 DF4 CONN",PP-CA-449
116451,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7122Q/58",PP-CA-449
116456,"GENERATOR, ASSURITY MRI PACER SR RF",PP-CA-449
116457,"LEAD, TENDRILL STS 52",PP-CA-449
120231,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
120233,"SHEATH, CPS DIRECT UPSIZED X-WIDE 47CM",PP-CA-449
120234,"GENERATOR, ASSURITY MRI PACER SR RF",PP-CA-449
120235,"LEAD, TENDRILL STS 58",PP-CA-449
120236,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
120237,"LEAD, TENDRIL MRI 46CM",PP-CA-449
120238,"LEAD, TENDRILL STS 52",PP-CA-449
120239,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
120240,"LEAD, TENDRIL MRI 46CM",PP-CA-449
120241,"LEAD, TENDRILL STS 52",PP-CA-449
122698,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 50CM",PP-CA-449
128801,"STYLET, MOND RVOT 58",PP-CA-449
128803,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
131488,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
131489,"LEAD, TENDRIL MRI 52CM",PP-CA-449
131490,"LEAD, TENDRILL STS 58",PP-CA-449
131495,"STYLET, MOND RVOT 58",PP-CA-449
131496,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
131497,"LEAD, ISOFLEX OPTIM 1944/46",PP-CA-449
131498,"LEAD, ISOFLEX OPTIM 1948/52",PP-CA-449
131499,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
131500,"LEAD, TENDRIL MRI 52CM",PP-CA-449
131501,"LEAD, TENDRILL STS 58",PP-CA-449
131502,"GENERATOR, GALLANT VR ICD",PP-CA-449
131503,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
132828,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
132829,"LEAD, TENDRILL STS 52",PP-CA-449
132830,"LEAD, TENDRILL STS 58",PP-CA-449
