seq_no,Line_Description,contract_number
60546,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
63558,"Troponin T Gen 5 STAT CS Elecsys",PP-LA-524
64738,"REAGENT CHEMISTRY ELECSYS proBNP II CALSET Roche item 09315292190",PP-LA-524
64771,"REAGENT CHEMISTRY ELECSYS",PP-LA-524
64785,"REAGENT CHEMISTRY ELECSYS",PP-LA-524
64790,"REAGENT CHEMISTRY ELECSYS",PP-LA-524
66007,"REAGENT CHEMISTRY 100 TEST CORTISOL II ELECSYS",PP-LA-524
66008,"REAGENT CHEMISTRY ELECSYS",PP-LA-524
66009,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
66010,"REAGENT FERRITIN GENERATION II",PP-LA-524
66011,"REAGENT CHEMISTRY 200 TEST FT4 II ELECSYS",PP-LA-524
66012,"REAGENT CHEMISTRY 100 TEST PCT COBAS ELECSYS",PP-LA-524
67069,"proBNP G2 STAT Elecsys cobas e 100 V2.1",PP-LA-524
67070,"Troponin T G5 STAT Elecsys cobas e100 V2",PP-LA-524
67071,"Troponin T Gen 5 STAT CS Elecsys",PP-LA-524
71347,"REAGENT DILUENT MULTIASSAY COBAS 175",PP-LA-524
71348,"REAGENT DILUENT UNIVERSAL COBAS 2X40ML",PP-LA-524
71349,"REAGENT CHEMISTRY GEN 4 100 TEST CK-MB STAT ELECSYS",PP-LA-524
71350,"REAGENT CHEMISTRY 100 TEST CARCINOEMBRYONIC ANTIGEN ELECSYS",PP-LA-524
71351,"REAGENT CHEMISTRY 100 TEST PARATHYROID HORMONE COBAS ELECSYS",PP-LA-524
71352,"REAGENT T4 TESTPACK 200 TEST ELECSYS COBAS E",PP-LA-524
71353,"CALIBRATOR CHEMISTRY STAT GEN4 CK-MB CALSET 4ML",PP-LA-524
71354,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
71355,"CALIBRATOR CHEMISTRY HCG+BETA 111 CALSET 4ML",PP-LA-524
71356,"CALIBRATOR CHEMISTRY PTH CALSET 4ML",PP-LA-524
71357,"CALIBRATOR CHEMISTRY T4 CALSET 4ML",PP-LA-524
71358,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
71413,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
71414,"CALIBRATOR CHEMISTRY FERRITIN CALSET 4ML",PP-LA-524
71415,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
72685,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
72686,"CUP ANALYZER ELECSYS 60X60 REACTION",PP-LA-524
72687,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
72688,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
72701,"CLEANER ECOTERGENT COBAS 502 59ML",PP-LA-524
72743,"CALIBRATOR CHEMISTRY AFP II CALSET 4ML",PP-LA-524
72744,"CALIBRATOR CHEMISTRY CA 125 II CALSET 4ML",PP-LA-524
72745,"CALIBRATOR CHEMISTRY ESTRADIOL III CALSET 4ML",PP-LA-524
72746,"CALIBRATOR FOLLICLE STIMULATING HORMONE CALSET II SET 4X1ML",PP-LA-524
72747,"CALIBRATOR CHEMISTRY LH II CALSET 4ML",PP-LA-524
72748,"CALIBRATOR CHEMISTRY PROLACTIN II CALSET 4ML",PP-LA-524
72749,"CALIBRATOR CHEMISTRY PTH CALSET 4ML",PP-LA-524
72750,"CALIBRATOR CHEMISTRY TESTOSTERONE II CALSET 4ML",PP-LA-524
72751,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
72752,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
72753,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
72754,"REAGENT CHEMISTRY 100 TEST AFP ELECSYS",PP-LA-524
72755,"REAGENT CHEMISTRY 100 TEST CA 125 II ELECSYS",PP-LA-524
72756,"REAGENT CHEMISTRY 100 TEST CA19-9 ELECSYS COBAS E",PP-LA-524
72757,"REAGENT CHEMISTRY 100 TEST ESTRADIOL III ELECSYS COBAS E",PP-LA-524
72758,"REAGENT FSH TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
72759,"REAGENT CHEMISTRY 100 TEST LH ELECSYS COBAS E",PP-LA-524
72760,"REAGENT CHEMISTRY 100 TEST PROGESTERONE III ELECSYS COBAS E",PP-LA-524
72761,"REAGENT CHEMISTRY 100 TEST PROLACTIN II ELECSYS COBAS E",PP-LA-524
72762,"REAGENT CHEMISTRY 100 TEST TESTOSTERONE II ELECSYS",PP-LA-524
73861,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
73862,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
79833,"DILUENT CHEMISTRY UNIVERSAL 2 ELECSYS 2X36ML",PP-LA-524
79877,"REAGENT FERRITIN GENERATION II",PP-LA-524
79878,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
79879,"CALIBRATOR CHEMISTRY CORTISOL II CALSET",PP-LA-524
87473,"CONTROL CHEMISTRY PRECI UNIVERSAL ELECSYS 4X3ML",PP-LA-524
90222,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
90223,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
94242,"REAGENT CHEMISTRY 100 TEST HCG+BETA 11 ELECSYS COBAS",PP-LA-524
95545,"Troponin T Gen 5 STAT CS Elecsys",PP-LA-524
95576,"Troponin T Gen 5 STAT CS Elecsys",PP-LA-524
95577,"Troponin T G5 STAT Elecsys cobas e100 V2",PP-LA-524
98127,"Troponin PC Elecsys",PP-LA-524
102068,"CONTROL CHEMISTRY PRECI TROPONIN T ELECSYS 4X2ML",PP-LA-524
102121,"REAGENT CHEMISTRY GEN 2 100 TEST PROBNP COBAS E ELECSYS",PP-LA-524
102122,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
104449,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
104450,"REAGENT CHEMISTRY ELECSYS",PP-LA-524
104451,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
104452,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
104475,"REAGENT CHEMISTRY 100 TEST TESTOSTERONE II ELECSYS",PP-LA-524
105476,"CONTROL CHEMISTRY PRE CLEAN M ELECSYS 600ML",PP-LA-524
105477,"REAGENT T3 TESTPACK 200 TEST ELECSYS COBAS E",PP-LA-524
105478,"CONTROL CHEMISTRY CLEAN CELL M ELECSYS COBAS E 2X2LT",PP-LA-524
105479,"CONTROL CHEMISTRY PRO-CELL M (2X2L) ELECSYS COBAS E 2X2LT",PP-LA-524
105480,"REAGENT FT3 GEN3 TESTPACK 200 TEST ELECSYS COBAS E",PP-LA-524
105482,"REAGENT CHEMISTRY 200 TEST FT4 II ELECSYS",PP-LA-524
105483,"REAGENT PSA GEN 2.1 TESTPACK 100 TEST ELECSYS",PP-LA-524
