id,mpn_raw,mpn_normalized,description_text,manufacturer_raw,source_field,source_system,contract_no
3348,4660307190,4660307190,"REAGENT CHEM ANALYZER ELECSYS TROPONIN-T STAT GEN 4 100TEST/EA","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
3358,4704-MD,4704MD,"SLING ARM CRADLE OPEN HAND ELBOW HOOK-LOOP CLOSURE","SCOTT SPECIALTIES INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3358,4704-MD,4704MD,"SLING, SNOOPY ARM MEDIUM","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3358,4704-MD,4704MD,"SLING ORTHOPEDIC ENVELOPE MEDIUM WIDE 7IN X 15IN PEDIATRIC RIGHT/LEFT ARM SHOULDER STRAP HOOK-LOOP CLOSURE SNOOPY PRINTED COTTON POLYESTER CUSTOMIZABLE","SCOTT SPECIALTIES",Product_Description,PO_PREMIER,PP-NS-1680
3359,4704-SM,4704SM,"SLING ORTHOPEDIC ENVELOPE SMALL WIDE 6IN X 12IN PEDIATRIC RIGHT/LEFT ARM SHOULDER STRAP HOOK-LOOP CLOSURE SNOOPY PRINTED COTTON POLYESTER CUSTOMIZABLE","SCOTT SPECIALTIES",Product_Description,PO_PREMIER,PP-NS-1680
3359,4704-SM,4704SM,"SLING, SNOOPY ARM SMALL","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3359,4704-SM,4704SM,"SLING ARM CRADLE OPEN HAND ELBOW HOOK-LOOP CLOSURE","SCOTT SPECIALTIES INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3360,4704-XS,4704XS,"SLING ARM CRADLE OPEN HAND ELBOW HOOK-LOOP CLOSURE","SCOTT SPECIALTIES INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3360,4704-XS,4704XS,"SLING ORTHOPEDIC CUSTOM ENVELOPE XSMALL 5IN X 10IN PEDIATRIC RIGHT/LEFT ARM HOOK-LOOP CLOSURE SHOULDER STRAP SNOOPY PRINTED COTTON POLYESTER LATEX-FREE","SCOTT SPECIALTIES",Product_Description,PO_PREMIER,PP-NS-1680
3463,4842464160,4842464160,"REAGENT CHEMISTRY GEN 2 100 TEST PROBNP COBAS E EL","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3463,4842464160,4842464160,"REAGENT CHEM ANALYZER ELECSYS PROBNP 2","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
3463,4842464160,4842464160,"TESTPACK, COBAS E-ELECSYS PROBNP GEN 2 (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3465,4856643190,4856643190,"CALIBRATOR CHEMISTRY STAT 9MIN TROPININ T CALSET 4","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3465,4856643190,4856643190,"SET CALIBRATOR CHEMISTRY COBAS TROPONIN T STAT 1SET/2X1ML LEVEL-1/2 IVD","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
