seq_no,Line_Description,contract_number
27917,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
27919,"SUTURE, 0 SURGIDAC ENDO STITCH 48&quot;",PP-OR-1487
27939,"SCISSOR SURG SHARP/BLUNT STR 5.5IN",PP-OR-1487
28252,"Scissors: Iris Surgical Scissors, CurvedIris Surgical Scissors",PP-OR-1487
28317,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
28344,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
28345,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
31512,"SCISSOR,ENDOPTH,CURVED,5MM-ORDR QTY6",PP-OR-1487
31576,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
31584,"STAPLER, ENDOGIA ULTRA UNIV 12MM XL",PP-OR-1487
31585,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
31586,"RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM",PP-OR-1487
31592,"TROCAR, ENDO CLOSE",PP-OR-1487
31593,"POUCH, SPECIMEN ENDOCATCH II 15MM",PP-OR-1487
32904,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
32905,"APPLIER, SURGICLIP MED 9.75",PP-OR-1487
33935,"STAPLER, EEA XL 25MM W/ 4.8MM STAPLE",PP-OR-1487
34023,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
34024,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
34027,"STAPLER, DST SERIES GIA 60MM - 3.8MM RELOADABLE",PP-OR-1487
35170,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
35171,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
35253,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
35254,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
35255,"STAPLER, DST SERIES GIA 60MM - 3.8MM RELOADABLE",PP-OR-1487
35256,"PURSTRING, DISP. 65 INST.",PP-OR-1487
35281,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
36415,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
36490,"STAPLER, DST SERIES GIA 100MM - 3.8MM RELOADABLE",PP-OR-1487
37400,"STAPLER, TA 90-3.5",PP-OR-1487
37401,"STAPLER, DST SERIES 28 MM W/ 4.8 MM STAPLE",PP-OR-1487
37404,"STAPLER, EEA XL 28MM W/ 4.8MM STAPLE",PP-OR-1487
37481,"PURSTRING, DISP. 65 INST.",PP-OR-1487
37483,"RELOAD, DST SERIES GIA 100MM - 3.8MM LOADING UNIT",PP-OR-1487
37484,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
37496,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
37497,"RELOAD, SIGNIA 2.0 TRI-STAPLE 30 VSCLR MED TAN 12MM",PP-OR-1487
37498,"RELOAD, ENDO GIA MED THICK PURPLE 45MM",PP-OR-1487
37499,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE EXTRA/THICK",PP-OR-1487
37500,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
37501,"RELOAD, ENDO GIA MED THICK PURPLE 45MM",PP-OR-1487
37502,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
37507,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
37508,"SCISSOR, ENDO SHEARS 5MM",PP-OR-1487
37509,"PURSTRING, DISP. 65 INST.",PP-OR-1487
37934,"SCISSOR SURG SHARP/BLUNT STR 5.5IN",PP-OR-1487
39034,"RELOAD, TA 30MM - V3",PP-OR-1487
39035,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
39036,"TROCAR, ENDO CLOSE",PP-OR-1487
39037,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
39736,"Scissors: Universal Bandage Scissors with Plastic Probe, Red, 7.5" (19 cm)Univer",PP-OR-1487
40436,"TROCAR, ENDO CLOSE",PP-OR-1487
40440,"STAPLER, TA 60-3.5",PP-OR-1487
40448,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
40449,"STAPLER, ENDOGIA ULTRA UNIV 12MM XL",PP-OR-1487
42114,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
42115,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
42124,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
42125,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
42126,"PURSTRING, DISP. 65 INST.",PP-OR-1487
43361,"SCISSOR SURG SHARP/BLUNT STR 5.5IN",PP-OR-1487
44389,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
44390,"STAPLER, TA 90-3.5",PP-OR-1487
44826,"STAPLER, TA 60-3.5",PP-OR-1487
44827,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
44834,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
44835,"RETRACTOR, ENDO PADDLE - 12MM",PP-OR-1487
44836,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
44837,"TROCAR, ENDO CLOSE",PP-OR-1487
44838,"ENDO STITCH, DISP 10MM",PP-OR-1487
44839,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
44840,"POUCH, SPECIMEN ENDOCATCH II 15MM",PP-OR-1487
46104,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE MED/THICK RE",PP-OR-1487
46170,"RELOAD, TA 90-3.5",PP-OR-1487
46172,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
46173,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
46174,"DEVICE, ORVIL EEA DTS SERIES 25MM",PP-OR-1487
46270,"SCISSOR SURG SHARP/BLUNT STR 5.5IN",PP-OR-1487
47326,"STAPLER, TA 60MM - 4.8MM RELOADABLE",PP-OR-1487
47335,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
47336,"STAPLER, DST SERIES GIA 100MM - 3.8MM RELOADABLE",PP-OR-1487
47337,"STAPLER, TA 60-3.5",PP-OR-1487
47338,"TROCAR, ENDO CLOSE",PP-OR-1487
47351,"RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM",PP-OR-1487
48910,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
48912,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
48913,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
48914,"STAPLER, TA 90-3.5",PP-OR-1487
48915,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
